"username","dates","location","review","rating","useful","funny","cool"
"Norry H.","2/22/2014","Washington, DC","""L'amore al primo morso!"" I really really love this place! Fiola Mare is THE place for authentic and classy Italian cooking and fresh seafood lovers! I am giving a perfect 5 with much confidence at my first visit right now. From the personal greeting by the elegant Maria Trabocchi, to Maine Peektoe Crab antipasti, to my half portion Bucatini with Red King Prawns and Sea Urchin, and finally to the dessert Baba al Rhum, everything and I mean ""everything"" was impeccable. Our lady bartender was very nice and knowledgeable too.",5,11,1,8
"Adrienne K.","2/22/2014","Arlington, VA","The menu was the most thoughtful and creative selection I've ever seen. You could tell that each ingredient was really considered and carefully sourced to create a special dining experience. The Bucatini was amazing and the wine pairings suggested to us were just right.",5,2,0,1
"bill s.","3/2/2014","Washington, DC","Two dinners so far.  Fabio is a master chef. The restaurant is beautiful. Unlike so many restaurants these days it is relatively quiet.  All the food I have tried so far is excellent. Prices are moderate to expensive. Motivation to earn more money. Lobster and lobster Ravioli are standouts.  Smoked Black Cod fish is fantastic. Oysters with caviar and creme was to die for. Enjoy",5,2,1,1
"Bryan M.","3/3/2014","Arlington, VA","Great new restaurant and finally a chance to get some great food on the Georgetown Waterfront.  Don't be scared, this is not the below average Tony & Joe's or Sequoia that are just relying on water views. Went there on a Saturday night with my wife and had a wonderful dinner. Lots of very interesting, well thought out menu items. The lump crab cake salad was wonderful. So too the lobster ravioli and ahi tuna appetizer. Servers were knowledgeable and recommended good wine pairings. Great dinner all around and when the weather warms up, will offer outdoor seating along the river.",5,1,0,0
"John L.","3/3/2014","Arlington, VA","We love Fiola, and think it's one of the best Italian restaurants we've been to in the U.S. so we had to try Fiola Mare for brunch Sunday and, unfortunately, it does not currently live up to the standards of its companion restaurant BUT I'm sure it will improve and I'll be happy to upgrade my rating at that time.Service:  Everyone was nice but we received incorrect dishes and occasionally the waiter would miss a drink order and we would have to order again.  Nothing major and something that should be cleaned up in the future but also something I wouldn't except from a Fiola property.Food:   Food was fine, certain dishes better than others.  The poached eggs, when cooked properly, were excellent but unfortunately, the two eggs on our plates were unevenly poached (one overdone) which was unexpected.  Setting:  Excellent setting with views of the Potomac.  We will go back and hopefully have a better time.",3,1,0,0
"Adam L.","3/4/2014","Arlington, VA","My god, the food here is fantastic.  Went with a medium sized group to brunch this weekend and I can't say enough about the quality of the food. We had both traditional brunch foods and some seafood dishes, all of which were great both in portion sizes and quality.Service: absolutely awful.  Our waiter had an attitude as soon as we walked in.  There were less than 50 people dining in the entire restaurant, and had to be about 12-15 staff there.  I've never seen that many people walking around doing a terrible job.  Our waiter came by VERY rarely, drinks took an extremely long time to arrive.  We had to flag him down to take our order after the appetizer plates had been cleared for over ten minutes. At the end of the meal, even though we had written down amounts to charge to our cards, he was unable to split the check correctly, charging over $200 more than what was on the tab.Overall, the brunch took almost 3.5 hours from the time we showed up to when we left.  The ""Wine Manager"" came over to apologize for the wait, handing us his card and inviting us to call him if we needed anything. Not sure how helpful that is, but maybe we can give him a ring for wine suggestions when we head to whole foods.The Chef and the water guy were great.  I feel bad for the folks in the kitchen because the food they put out is incredible.Would go again...for takeout.",2,6,0,0
"Cyndy K.","3/8/2014","Honolulu, HI","Cyndy's Bottom Line:  Excellent service by Arturo (sp?) and delicious Italian inspired seafood dishes in a beautiful setting. 4.75 stars for the food.5 stars for service5 stars for ambianceThere is valet service which is located at the front entrance 31st and K.  We missed the entrance and the valet and went into the public parking garage.  Will definitely use the valet on our next visit.  They are so friendly and nice!I love the location on the Georgetown waterfront with spectacular beautiful views of the water and the outlying area.We were taken to our table and were so lucky to have a booth that is facing the water and to be in Arturo's section.I started with a glass of Prosecco, Le Vigne di Alice, Doro, Brut Superiore, Veneto, Italy.  Divine bubbles!Hubby had the Redemption Rye Manhattan.Arturo recommend a bottle of the Isole e Olena, Tuscany 2012 to pair with our food.  It was excellent.Arturo explained the entire menu to us.  Provided great passionate descriptions of all the dishes. We selected most of Arturo's recommendations:1.  Catalina Sea Urchin Panna Cotta -Foie Gras, Espelette, Sake Infused Caviar Squid Ink Brioche.  Creaminess of the panna cotta with the urchin is brilliant!  The brioche was so useful to soak up all of the panna cotta.  2.  Quinault Tribe Wild Razor Clams Roman Puntarelle & Anchovies DressingBeautiful presentation of a salad.  The razor clams were sweet and succulent.  The anchovies were a perfect compliment to the razor clams.  The dressing was light not to over power the fresh flavor of the seafood.3.  Burrata of Buffalo Mozzarella - Baby Artichokes, Anchovies, Sea Lettuce, Cucumbers, Pesto of Basil Genovese.We shared this dish and it was plated separately.  Love the attention to detail.  The burrata was creamy with perfect texture.  A delicious refreshing salad.4.  Fiola Maine Lobster Ravioli - Ginger, Chives.  Magnificent!  The raviolis were nicely stuffed with delightful lobster and the wrappers were so delicate.   They melt in your mouth.5.  Smoked Potato Gnocchi - Wild Turbot, Baby Artichokes, Almonds, Italian Parsley.I enjoyed the components of this dish except for the smokiness which I thought was a bit too intense and it tasted too herbaceous for my palate.  The turbot was done perfectly.We had to cancel our next order because we were way to full and I was saving room for the bomboloni.6.  Ricotta Bomboloni Burnt Honey Gelato - every bite is so divine!  It is so yummy with the gelato.  The next visit I will order it first to go with my prosecco!7.  Baba al Rhum - Vanilla Crema, Pear Marmellata, Toasted Alba Hazelnuts.  Decadence!!!  The vanilla crema was so lusciously delicious all by itself.  The pear was yummy sweetness.8.  Macarons and almond cookies - a nice touch to a wonderful time!",4,4,0,1
"Lillie Z.","3/9/2014","Washington, DC","One of the best overall restaurants I've been to in terms of food and ambiance! I seriously cannot rec it enough.The ahi tuna crudo is to diiiiie for AMAZING. Like you absolutely have to have it. Seriously. The tuna slices are huge fatty sashimi style. Incredibly fresh and unbelievably flavorful. It comes with a rich citrus dressing salad blend with light greens and thick blood orange rounds on top of a light fluffy and just crispy enough pancake like bread. Oh my god. So good. Basically an entire meal and a good size to share too. The raw crudo scallops are also delicious. Very very well and thickly seasoned! The scallops basically melt in your mouth and have the consistency between jello and giant tapioca - kind of reminiscent of rice noodle rolls. melty, chewy, slimy, but also solid. I swear it tastes a lot better than the description would suggest...The colors of the garden salad with heirloom radicchio and blood oranges and tangerines was beautifully done and delicious (they split it in two for us) but also incredibly underwhelming compared to everything else. (Also see my Fiola review bc I basically had a kale salad there that MADE MY LIFE and no salad since has compared). Caviar with froth was delicious but the staging of the caviar could have been done much better. The gnocchi was great if you like gnocchi but I wouldn't recommend it unless you're craving gnocchi. If you want pasta go for the lobster ravioli as many reviewers would recommend. Whoops.The passion fruit and seasoned fruit sorbet took FOREVER to get to us. Very passion fruity - the sorbet was perfect. The seasoned fruit was soggy and peaches I think which...it's March? Is that seasonal? They also gave us pistachio-flavored cookie balls or something to end the night, complementary. HOLY MOTHER DELICIOUS. I'm pretty sure it's an actual dessert too so order that!Service was great. The waiter was attentive but not overly so. The food was staged and plated and served at exactly the right time. They paid attention to when we finished but not in an awkward gawking at us way.  Our plates were taken away professionally (a little awkwardly bc we were snuggling and they came in from behind us as is most professional so we kind of threw them off. whoops) and everyone was wonderful, smily, professional, and (almost) seamless. The service got a little slow towards the end... But otherwise was great. All in all. I WILL BE BACK. Especially as the menu changes to try new things. The food was amazing, everything they do they do well, and they have absolute standouts as well. I would absolutely recommend talking to the waiter and getting his/her recs though. Their entire restaurant is GORGEOUS. *GORGEOUS*. The seating is exquisite and comfy. We went early enough that they allowed us to take the four seater table with the cushioned benches. The bar is beautiful and have nice seats if you want to go early and lounge. The bar menu is extensive for those who want to drink.",5,4,5,6
"A B.","3/10/2014","Arlington, VA","Food was delicious and creative, but the service needs to improve.  I had the frutta di mare salad and the grilled dorado with roasted lemon.  I would recommend those dishes.This is an upscale place, but some of the details have not been very well thought out.   I did not like sitting in the adjacent sunroom area, but my husband did not seem to mind.  He thought it was cozy.  I would have preferred sitting in the main restaurant with more plush and comfortable seating.  Someone should think through the playlist and lower the music volume.  The Jem soundtrack that came before the house music was a little weird.  To the Manager: whatever you choose, please make it complement your delicious food and not drown out conversation.  Kitchen was slow, although our server was prompt and accommodating.  Servers need to communicate with each other (we were asked by two different servers what drinks we would be ordering on two occasions).I would like to try again in several months.  This is a welcome addition to the waterfront and I think with more time, the details will hopefully sort themselves out.",3,0,0,1
"Richard K.","3/15/2014","New York, NY","New restaurant in Washington Harbour...highly recommend giving it a shot.  The fresh fish was amazing (we had dover sole).  Place is new and service was just so so...I hope to go back and upgrade my ratings.",4,0,0,0
"Lee W.","3/15/2014","Bethesda, MD","The food was mediocre and overpriced.  A huge disappointment.",2,0,0,0
"Edwin O.","3/16/2014","Rockville, MD","We enjoyed our brunch today and service was good, the waiter overdid it a bit with his properness, however he was nice. Food was good, most prices were in line with expectations. Some were a little expensive. The lobster roll was very tasty, however at 22 dollars on the high side. Interior design is well done and it a nice atmosphere along the Potomac. We will go back...",4,0,0,0
"Sara J.","3/17/2014","Washington, DC","Really perfect all around.Decor: warm, upscale, ""in"", romantic, but also has an air of power player.Menu and fare: I wanted to try everything but having just had a baby, started with oysters (Washington, Cape Cod and Duxbury) that were distinct, fresh, and accompanied by two sweet citrusy vinegars that I wanted to drink in with a straw! Main course was a  delicious seafood stew over creamy polenta -- to die for -- as was my husband's lobster ravioli with ginger butter. Desserts were also a hit--a lemon meringue torte and a dense chocolate mint and pistachio cake. Service: attentive, personal but not too in our faces. Fiola Mare is lovely and worth the priciness, especially if you can watch Chef Fabio conduct the symphony of staff and cuisine with a very serious attention to detail and timing.",5,1,0,1
"Jessica M.","3/20/2014","Old Town Alexandria, Alexandria, VA","This is another amazing Fiola restaurant on the Georgetown waterfront, when the weather is warmer it's going to have an amazing open patio overlooking the river. I enjoyed a savory pasta and scallop dish with the perfect bottle of Italian white wine. There is also a lovely room for events that seats about 15 people. Make you reservations now otherwise you will miss out!",5,0,0,0
